Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
V.g18298.t1	70	88	70	238	150	196
V.g16242.t2	36	30	26	92	137	98
III.g8244.t1	4110	4368	4191	2309	2984	2968
I.g3438.t1	78	87	99	189	83	142
III.g8253.t1	1990	2020	1910	1681	1374	1710
X.g19177.t1	882	1011	997	1039	1007	1558
X.g19996.t1	18	21	16	98	124	101
V.g16955.t1	108	117	70	284	265	294
II.g6029.t1	2	7	10	8	19	11
X.g20923.t1	34	26	32	127	121	107
II.g7360.t1	763	847	687	598	902	789
IV.g13088.t2	224	132	157	281	179	242
X.g19890.t1	68	133	34	240	136	173
X.g20852.t1	3	3	1	34	43	48
II.g4979.t1	1684	1723	1696	894	859	1081
V.g18265.t1	151	115	120	536	365	492
I.g3842.t1	3708	4060	3708	1384	1371	1653
I.g3755.t1	79	127	88	353	135	316
IV.g13666.t1	13	14	11	53	39	38
X.g18542.t1	283	153	114	1233	457	447
I.g1269.t1	4347	4698	4041	1725	2090	2348
II.g5477.t1	1	3	1	19	12	9
X.g20851.t2	37	49	27	18	19	24
V.g15523.t1	39	39	26	292	328	492
III.g8943.t2	14	11	15	223	143	208
II.g6260.t1	1802	340	485	13034	3615	3830
V.g15130.t2	6536	6831	6071	6788	5725	6951
II.g4493.t1	65	81	45	205	100	162
I.g1271.t2	33	78	50	182	98	168
II.g5019.t1	19	15	9	72	54	59
II.g7397.t1	14	9	7	37	54	40
IV.g12904.t1	208	182	143	224	170	167
I.g3864.t2	852	647	681	1738	897	1444
III.g7712.t1	22	15	22	32	12	24
I.g2087.t1	8518	8883	8186	7404	6971	7279
X.g20455.t1	784	590	829	1447	607	1236
V.g15913.t1	96	60	63	139	57	103
III.g7503.t3	7442	8078	7316	5830	4402	6604
II.g4526.t1	1476	1035	1303	1183	1744	1448
I.g3654.t2	1543	1586	1532	717	571	782
X.g22025.t3	15	22	16	72	53	43
III.g10142.t1	466	471	464	540	555	541
X.g18916.t1	687	746	620	1164	1025	1039
V.g18248.t1	626	1145	673	3431	1216	2023
III.g8746.t1	114	44	48	365	150	164
II.g5143.t1	64	85	61	178	168	154
II.g4034.t1	913	971	902	689	817	687
I.g1594.t1	3091	3364	2812	3131	3677	3659
IV.g13837.t1	1993	2343	2525	1186	1653	1799
III.g7575.t1	18	17	12	67	94	52
X.g19605.t1	427	543	350	1657	1435	1925
I.g3756.t1	2806	3117	3171	1069	1143	1653
III.g8575.t1	85	77	73	147	223	189
I.g2648.t1	2473	2193	2322	1431	2008	1688
X.g20525.t1	273	272	190	426	328	508
II.g4168.t1	2515	1779	2074	2092	1566	2292
X.g21368.t1	438	221	396	171	225	169
X.g20569.t1	63	72	52	101	66	83
III.g7532.t1	3502	3031	3106	1971	2079	2069
I.g2223.t1	257	180	256	588	527	613
X.g21476.t1	57	50	47	167	171	134
X.g18736.t2	628	540	560	1159	430	854
IV.g11856.t3	11	21	18	100	64	56
I.g1041.t1	33	62	56	65	26	50
V.g15623.t1	1443	1164	924	1533	1518	1441
II.g5473.t1	808	793	867	435	474	521
X.g22019.t1	335	180	218	497	559	425
X.g18919.t2	858	739	614	858	549	806
I.g899.t1	119	153	117	793	523	706
X.g19639.t3	1223	1221	1073	2355	2065	1997
II.g5380.t1	1882	2198	2100	480	627	787
III.g8099.t1	2591	3152	2652	824	1373	1213
II.g5051.t1	187	252	146	536	1277	637
II.g4935.t1	595	587	611	328	367	324
IV.g10769.t1	482	484	429	371	396	366
X.g20127.t1	23	10	9	53	22	41
IV.g12982.t1	11754	13161	12077	4466	3438	4409
X.g21206.t1	545	285	353	1240	985	1192
II.g5089.t2	116	75	88	354	449	333
I.g2009.t1	1143	1220	1177	483	650	662
I.g1510.t1	3848	4167	3796	1208	1980	1911
X.g20965.t1	387	191	350	418	60	287
II.g4952.t1	698	719	564	557	898	491
I.g1383.t2	231	234	211	286	180	292
X.g21158.t2	26	12	24	51	45	55
IV.g11858.t1	2934	3149	2676	3124	4279	3708
V.g16695.t3	1219	1313	1243	1421	1614	1551
II.g4374.t1	12020	11613	11281	4488	5524	4961
V.g16135.t2	3226	3815	3339	1849	1757	2356
V.g17014.t1	8	4	8	39	36	29
X.g19019.t1	14	14	15	96	84	108
X.g20664.t1	436	492	388	992	1208	1311
V.g16334.t1	23	15	15	35	12	19
III.g7783.t1	1047	1098	1086	554	561	738
IV.g13848.t2	1927	2187	1933	1217	1449	1430
IV.g12480.t1	4142	4450	3925	1843	3090	2699
V.g15924.t1	2445	2741	2468	965	1171	1372
III.g9173.t1	1967	2051	1793	2009	1767	2208
III.g8263.t2	110	112	107	759	331	739
IV.g13612.t1	11	7	11	29	22	32
III.g9111.t1	1443	1784	1277	2724	2596	2771
I.g2241.t1	45	39	29	123	200	121
I.g2207.t1	65	103	81	182	142	253
IV.g12998.t1	99	68	60	379	257	287
V.g16745.t1	139	100	95	374	417	337
X.g19557.t1	21	23	19	90	50	57
II.g5126.t1	2711	2889	2735	1374	2795	1946
X.g21484.t1	16	29	10	0	4	4
V.g14006.t1	733	752	521	450	293	349
III.g7651.t1	41	50	23	172	33	70
I.g2982.t1	29	62	33	110	63	93
IV.g11704.t1	920	1020	941	578	900	751
IV.g12752.t1	778	747	550	1287	1712	1328
II.g5612.t1	110	77	76	483	582	462
IV.g11712.t1	49817	43165	44620	41098	40614	37621
V.g16828.t1	24082	21842	21858	19750	19791	19542
I.g2528.t1	4145	4033	3680	3271	7551	4262
V.g17434.t1	165	160	134	231	186	292
IV.g11122.t1	3	0	2	6	8	9
V.g18357.t1	22	19	19	95	20	42
II.g5136.t1	1732	2142	2064	952	1627	1435
II.g4253.t1	122	206	129	438	97	228
III.g9526.t2	122	116	57	356	379	344
IV.g10730.t1	2	2	1	15	14	23
X.g19453.t1	9	15	5	77	64	54
III.g9400.t1	2285	1946	2443	1323	1259	1278
III.g7896.t1	52	63	56	67	25	49
V.g18264.t1	31	15	13	368	202	341
V.g14008.t2	1034	925	953	494	585	616
X.g20814.t1	269	306	280	161	89	140
X.g20690.t1	88	10	11	0	5	3
X.g19075.t1	11	14	8	47	43	57
X.g20587.t1	107	89	99	62	60	57
V.g15941.t1	76	84	53	376	278	296
I.g2014.t1	39431	43642	36157	44963	62842	50257
I.g1355.t1	144	82	79	1679	2899	1974
V.g14073.t1	93	158	84	392	258	362
IV.g12877.t1	243	1794	244	3147	89	1434
I.g2243.t1	1476	1855	1402	1280	1375	1514
II.g4028.t1	3028	3327	2811	4622	2786	4137
I.g3420.t1	1	0	1	3190	2829	3106
V.g16317.t1	282	279	186	526	446	519
V.g16575.t2	8700	8415	8592	5671	5203	6805
X.g20790.t1	248	256	165	440	596	422
IV.g13627.t1	1323	1119	1343	933	877	915
X.g19928.t1	153	152	290	95	19	80
II.g5894.t1	270	188	339	1659	1231	1970
III.g10383.t2	40	17	20	140	166	117
X.g21766.t1	133	142	106	256	195	268
III.g10001.t1	3354	3885	3267	1392	1767	1810
I.g2870.t1	322	98	87	1089	111	490
II.g4116.t1	1859	2093	1632	9593	3237	9915
X.g19324.t2	362	415	313	483	278	427
II.g6061.t1	18	10	13	61	80	49
I.g3532.t2	2675	3971	2621	3236	6661	4105
V.g17188.t1	2	1	2	17	12	11
X.g20089.t3	5	7	5	26	21	11
V.g15772.t1	4	6	6	25	14	12
I.g1966.t1	44	51	33	82	36	68
I.g1142.t1	1212	1369	1194	2513	1683	2474
I.g3231.t1	140	79	72	182	377	154
III.g8328.t1	523	399	440	316	303	285
IV.g12803.t1	0	0	0	0	0	0
I.g1339.t1	192	196	138	543	517	444
IV.g10509.t1	724	793	700	933	1077	967
X.g19103.t1	6	8	4	45	24	31
X.g19260.t2	89	76	86	533	353	453
X.g19012.t1	432	434	368	418	243	423
V.g14934.t1	180	141	156	27	27	56
I.g2339.t1	3381	3471	3062	3214	3421	3749
I.g2894.t1	1	1	2	14	12	11
I.g1526.t2	848	1145	863	845	1225	1036
I.g2429.t3	1754	1467	1656	556	845	745
X.g19322.t1	1110	1157	921	771	334	557
V.g15862.t1	11186	11197	10880	8482	5623	8110
X.g20057.t1	729	769	720	296	336	429
II.g6419.t1	563	530	554	324	348	377
X.g20073.t1	2238	1996	2211	5759	2385	5941
V.g16850.t1	495	840	437	632	771	739
I.g3242.t1	1850	1982	1675	2232	2679	2601
V.g17117.t1	527	766	457	1292	1702	1699
I.g1748.t1	5279	5792	4920	3395	4628	4185
II.g5881.t1	3764	3425	3568	3407	3486	3672
II.g4987.t3	1904	2055	1832	3325	3052	3216
V.g15474.t1	2289	1581	1754	1677	5815	2789
X.g21490.t3	230	187	149	169	140	161
V.g16097.t3	1082	953	946	1248	2031	1315
III.g9294.t1	342	386	325	190	229	217
II.g5108.t1	111	131	95	178	106	112
IV.g11172.t1	241	194	199	920	750	809
V.g14010.t3	2053	2115	2018	1000	859	1108
II.g5195.t1	2029	1793	1927	2431	2426	2326
IV.g12802.t1	7799	8034	7481	2435	1878	2857
II.g4814.t1	17	27	15	78	88	112
III.g9236.t1	2047	2265	2030	1311	1479	1636
X.g18874.t2	104	115	75	755	389	630
V.g13872.t1	48	58	41	182	62	119
IV.g12342.t3	3286	3723	3329	3601	3798	4049
IV.g11873.t1	347	185	293	562	34	292
X.g21683.t2	26	37	14	118	119	107
V.g15399.t1	974	1115	937	702	684	777
V.g13892.t1	2041	2190	2061	490	584	503
V.g16692.t1	927	1042	1080	377	762	710
II.g6332.t2	926	801	816	496	621	576
II.g5806.t1	18	15	6	67	84	55
X.g21743.t1	211	225	192	438	494	411
X.g21807.t2	85	80	56	183	200	173
IV.g11587.t3	4942	5587	5071	2689	2043	3204
I.g3749.t1	2289	2779	2261	1141	1040	1354
I.g2075.t1	1062	1026	1032	466	854	789
II.g5507.t1	2	3	5	5	7	5
X.g19976.t2	43	40	37	122	116	187
III.g8452.t1	102	90	81	443	818	537
V.g15637.t1	744	897	461	1424	1557	1350
X.g20140.t2	234	256	195	158	104	193
III.g7733.t3	2247	2387	2217	834	740	1039
III.g9761.t1	195	246	224	409	406	406
III.g7656.t1	68	47	32	183	79	86
I.g3577.t1	2522	1992	2281	2999	2761	2887
X.g19434.t1	155	114	103	153	143	140
X.g19956.t1	136	151	127	134	136	118
III.g9207.t1	27589	25668	25988	39213	37769	36510
III.g10408.t1	1790	2122	1710	2073	2051	2288
III.g8976.t3	16	11	4	247	201	212
X.g21147.t1	40	37	33	148	70	122
II.g4931.t1	7592	8036	6981	4520	6670	5790
II.g5923.t1	9	11	10	364	394	341
X.g20749.t1	594	640	502	1209	585	939
V.g17360.t3	982	789	580	953	3174	1379
I.g3539.t1	2243	2572	2192	1130	879	1323
IV.g11284.t1	1456	1416	1474	1037	1096	1253
III.g9190.t1	1415	1703	1403	2011	2213	2415
II.g6233.t1	2	3	1	63	48	41
II.g7390.t1	2434	2514	2318	1891	1922	2126
IV.g12322.t1	35	21	15	67	101	78
III.g8529.t1	2748	2976	2816	1012	1121	1211
I.g2723.t1	4119	4143	4220	1851	1990	2207
X.g19315.t1	47	17	29	61	38	34
III.g7819.t1	23	18	22	47	26	19
I.g3810.t1	5545	5406	4876	2779	2037	3314
I.g1468.t1	0	0	0	1662	1561	1658
II.g6205.t2	200	207	242	121	94	147
III.g7667.t3	661	507	524	1630	1150	1307
II.g4742.t1	1	1	0	1279	1102	1195
II.g5100.t2	2073	2187	2225	546	610	689
X.g20685.t1	157	133	126	310	277	219
X.g20691.t1	491	375	444	247	194	226
X.g21381.t1	1538	644	1214	4789	2711	4324
V.g18421.t1	17	26	12	109	94	90
I.g1406.t1	12407	12765	12298	7943	6444	8189
II.g5316.t1	762	423	556	1113	744	688
III.g8727.t1	2962	3255	2947	2359	2619	2807
II.g4905.t1	2741	3222	2642	1806	2021	2209
IV.g13680.t2	40	59	33	79	74	75
X.g18704.t1	2	1	3	7	10	4
IV.g12262.t2	145	67	83	610	223	304
III.g7714.t1	31	27	38	250	177	180
IV.g12707.t1	0	1	0	6	1	7
X.g19640.t1	34	26	14	96	66	95
X.g20964.t3	412	351	322	977	563	939
V.g16096.t1	332	364	387	159	146	231
X.g19474.t2	845	965	697	669	616	658
X.g19104.t2	636	469	526	536	1297	616
II.g6338.t1	0	0	0	710	440	630
II.g7095.t1	2	1	3	95	42	53
III.g9079.t1	1093	1214	1117	549	721	710
X.g21012.t1	2857	2379	2035	3450	2350	3494
X.g19662.t1	481	483	440	214	366	252
V.g16619.t3	128	89	165	97	86	111
I.g1690.t1	12132	12624	12031	7065	6338	7330
V.g16218.t1	4418	5397	4417	3619	3507	3847
IV.g12125.t1	9	7	6	24	32	30
V.g16821.t1	162	194	166	214	334	226
IV.g12625.t1	190	158	190	403	228	352
V.g17306.t1	0	0	0	1701	1340	1395
V.g15986.t2	1655	1456	1350	697	514	803
IV.g11741.t1	836	906	798	749	874	802
I.g3527.t2	694	814	681	625	499	657
III.g10184.t1	3660	3712	3308	1421	1017	1575
III.g7429.t2	273	247	292	597	229	380
I.g3177.t2	149	209	111	716	320	411
X.g19027.t2	704	1025	636	57	149	148
II.g6403.t1	1902	1400	1609	793	1010	1013
V.g16596.t4	10231	11709	10157	4001	4496	4952
II.g5789.t1	2	11	6	121	87	106
X.g20345.t1	88	114	77	226	88	149
III.g9699.t1	595	597	557	608	555	652
III.g7678.t1	424	424	342	2070	2607	2217
IV.g12302.t2	68	57	52	169	314	225
III.g7629.t1	1439	1244	1299	1022	966	1179
III.g8414.t2	0	0	0	0	0	0
V.g14055.t1	598	664	493	719	1032	873
IV.g12487.t3	155	956	138	1654	955	1006
X.g18689.t1	116	104	55	298	108	128
V.g13882.t1	2539	2597	2406	656	698	839
X.g20561.t1	1284	1083	1066	1075	305	700
X.g18831.t1	82	89	79	581	1061	682
I.g1919.t2	452	499	474	299	218	233
X.g20131.t1	51	109	31	56	44	78
V.g15095.t1	699	728	794	624	639	708
IV.g12695.t1	5685	6599	5770	1556	1716	2469
V.g13985.t1	1780	2339	2024	2741	2565	3630
II.g6175.t2	0	2	4	275	241	253
III.g8494.t1	653	716	730	481	665	591
I.g1516.t1	612	607	471	1158	2500	1425
X.g20099.t1	6	0	3	44	3	18
II.g6722.t1	278	245	219	357	287	333
V.g17607.t1	32	45	35	20	72	38
V.g15718.t2	166	167	146	410	296	384
X.g20478.t1	268	330	215	359	240	239
III.g9058.t1	1159	1153	1179	859	1188	946
X.g20832.t1	1178	1319	1049	1303	922	1231
V.g13873.t1	2114	2354	1570	3285	8251	2927
X.g19365.t1	152	170	164	346	255	321
X.g21448.t1	4	6	3	20	7	18
X.g20413.t1	603	661	578	1223	1370	1247
III.g9910.t1	2578	2838	2368	1600	2192	2076
X.g19645.t2	77	55	45	292	426	381
I.g2458.t2	62	79	47	274	199	295
V.g15409.t1	249	102	393	7248	1401	3848
I.g3849.t1	3384	3866	3282	1296	1376	1653
IV.g13794.t1	3587	4194	3409	3794	3569	3867
V.g15389.t1	43	10	10	299	56	98
IV.g10766.t2	1120	933	1048	349	509	400
X.g20441.t1	49	36	26	271	179	166
IV.g13570.t1	36417	18786	29475	34765	6355	17586
V.g17232.t1	4	5	4	42	28	35
II.g4457.t1	535	471	352	1014	840	918
V.g16827.t1	3884	3695	3488	3609	3605	3328
IV.g11382.t1	3931	3907	3734	2634	2935	3232
V.g16299.t1	12488	13720	12308	2143	2354	3229
I.g1392.t1	2795	3445	3107	1015	1316	1323
X.g20393.t3	273	243	243	752	646	841
III.g9276.t2	3298	3269	3091	1451	2092	1748
III.g9422.t1	4954	5350	4765	685	855	843
X.g20109.t1	71	87	44	114	100	93
X.g20507.t1	18	9	12	60	31	32
II.g5758.t1	239	236	226	467	602	479
X.g19152.t1	341	263	280	273	154	239
V.g15384.t3	72	95	74	488	373	427
X.g20951.t1	523	715	540	175	219	197
I.g3739.t1	1777	1507	1535	1881	2050	2017
V.g16803.t1	1772	1464	1526	606	947	725
I.g2103.t1	2143	2238	1973	1293	1774	1728
V.g15942.t1	7313	6504	6565	10535	9775	9519
X.g22374.t1	10	5	9	39	31	34
IV.g11503.t1	0	0	0	185	228	166
III.g8960.t1	5184	5479	5153	2533	2158	2616
III.g8961.t1	5666	5945	5218	3626	2865	4096
II.g4483.t1	4	5	8	27	19	32
II.g7131.t1	1709	1742	1641	2243	1241	1936
V.g14203.t1	2756	2957	2581	1707	1933	2284
IV.g13091.t1	39	47	47	213	226	171
I.g1917.t1	314	380	341	2512	2442	2588
X.g20613.t1	100	118	81	273	88	166
I.g2526.t1	403	364	389	444	835	521
X.g20744.t1	87	115	107	390	186	254
III.g8898.t1	4183	4363	3876	2708	2811	2879
V.g16243.t1	117	93	109	337	239	264
V.g15914.t2	8	9	6	86	86	66
V.g16042.t1	18381	32128	18571	32227	15040	33451
II.g5669.t1	138	144	112	154	291	200
II.g4557.t1	70	156	47	1184	57	410
II.g4138.t1	4012	4607	3938	1269	1004	1878
I.g1821.t1	93	72	55	311	207	243
X.g18644.t1	131	32	34	527	156	236
V.g14172.t3	2296	2867	1898	3488	8325	5095
V.g15809.t1	374	337	331	167	253	223
X.g20977.t1	621	570	384	827	2018	872
I.g1197.t1	7582	8382	7713	3762	2746	4586
V.g14410.t1	1193	686	995	2911	818	2076
X.g19916.t1	799	944	819	321	476	417
III.g8626.t1	35	33	28	514	427	475
V.g15946.t1	1411	2098	1368	2393	999	2023
V.g14516.t1	27	16	18	170	50	72
X.g20659.t1	75	77	46	103	109	77
IV.g11184.t1	166	231	199	399	475	454
II.g5339.t2	187	208	162	862	269	577
X.g20919.t1	145	67	104	339	177	333
X.g20769.t1	32	20	23	155	156	127
X.g19113.t1	7	8	4	7	4	8
III.g7804.t1	1815	1413	1736	2296	1601	2001
III.g7642.t1	80	80	77	155	122	173
II.g5415.t1	2034	2376	2094	1371	1858	1937
V.g15708.t1	1	1	0	1	3	3
II.g4764.t1	0	0	0	1	0	1
I.g2124.t1	420	647	397	846	918	860
X.g18878.t1	192	129	125	307	192	235
II.g4115.t1	20	23	9	192	65	90
I.g3446.t1	6	3	2	54	45	42
X.g20398.t1	182	187	143	272	245	253
II.g6187.t1	1322	1369	1246	524	584	564
II.g4308.t1	157	172	164	53	72	82
I.g2425.t2	8	12	11	61	53	58
X.g21569.t1	738	729	465	973	1733	1056
III.g8085.t1	4	9	9	12	13	16
III.g8259.t1	5025	5997	5308	2573	3782	3943
III.g9482.t1	1407	1648	1415	2061	2104	2340
X.g20170.t1	349	302	234	443	603	409
III.g8445.t1	237	181	192	505	597	528
IV.g11938.t1	376	369	400	293	492	352
IV.g12717.t3	1584	1607	1528	596	1051	895
I.g1288.t1	2406	2703	2586	1559	1384	1701
X.g20288.t3	131	131	119	334	364	314
X.g18738.t1	793	609	701	1251	578	1029
II.g6914.t1	105	112	94	496	210	396
II.g5063.t1	0	0	0	18	13	12
III.g7611.t2	333	296	233	725	371	599
X.g19750.t1	80	55	74	239	124	227
III.g10198.t1	760	872	776	173	300	294
II.g5257.t1	145	170	89	256	559	279
V.g16320.t1	1	0	2	5	11	9
V.g17334.t1	10	3	10	13	14	13
III.g7908.t1	24	21	27	87	62	76
II.g3994.t1	10	6	9	25	18	10
X.g19255.t1	234	280	216	524	384	433
III.g7884.t1	3	2	6	5	7	4
X.g20169.t1	16	11	13	62	64	32
X.g21796.t1	6	9	3	12	17	10
X.g21248.t1	10	16	14	55	107	56
II.g6288.t2	28	26	34	73	67	69
III.g10257.t1	317	295	319	140	238	218
IV.g11069.t1	936	1261	1202	101	180	775
X.g21885.t1	11	11	4	216	86	100
V.g15325.t1	33	51	41	8	11	15
X.g21971.t2	0	1	0	0	2	3
III.g8168.t1	2432	2545	2285	1501	1768	2045
IV.g12157.t1	12	13	11	72	49	58
I.g2568.t1	192	245	126	993	1595	1104
III.g8329.t1	88108	118950	84045	12679	27363	28519
IV.g13721.t1	1041	1007	932	408	438	579
IV.g12133.t1	0	1	0	250	295	267
IV.g13475.t1	620	596	634	362	435	394
IV.g13485.t1	73	95	55	323	245	332
X.g20417.t1	1855	1767	1620	2362	1922	2121
III.g9410.t1	1935	2025	2164	830	1132	1104
II.g6462.t2	3457	3659	3426	846	1248	1280
III.g8045.t1	3209	3576	3036	1998	2450	2562
X.g20459.t2	53	79	49	31	30	30
X.g20101.t1	35	25	28	100	92	79
X.g20021.t2	1761	1912	1863	1083	509	1027
II.g4542.t1	0	0	3	490	360	385
IV.g10493.t1	3	0	2	5	2	8
V.g18299.t1	62	65	46	93	95	103
I.g2086.t1	5468	6452	5074	10030	5940	8856
IV.g11813.t1	263	302	242	207	156	207
III.g8823.t1	751	574	569	186	391	204
IV.g12485.t1	2178	2381	2062	1118	1652	1634
II.g4834.t1	1125	1283	1188	1115	1401	1385
V.g16643.t1	536	745	1197	915	1854	1294
IV.g12447.t1	1	3	1	4	1	7
V.g14208.t1	1279	1197	1199	1113	1117	1299
X.g18764.t1	48	37	32	68	98	77
II.g5850.t2	45	103	29	470	38	217
II.g4341.t1	67	41	25	383	163	174
II.g7392.t1	309	131	176	391	154	201
III.g7809.t1	1413	1495	1321	2085	1789	2046
V.g16709.t1	0	0	0	9	11	5
X.g21493.t1	129	125	142	119	166	120
X.g21583.t1	12002	13962	10900	15147	11958	13738
X.g18737.t4	277	301	271	725	496	703
I.g1252.t1	250	232	197	1226	1485	1245
I.g1827.t1	151	159	149	283	310	282
V.g16210.t1	130	84	71	432	346	364
I.g1578.t1	1162	1185	1074	343	539	476
X.g20967.t1	15	17	13	152	217	150
IV.g12519.t1	2167	2485	1907	2979	4413	3261
II.g5119.t1	269	333	366	235	291	256
IV.g10865.t1	49	59	42	122	75	100
I.g3004.t1	19	12	17	85	64	75
X.g20456.t1	114	219	67	264	656	305
V.g18364.t1	193	177	146	522	289	520
II.g6277.t1	1526	1589	1531	939	1231	1235
V.g16234.t2	998	1218	798	4346	1180	2067
II.g5490.t1	499	92	127	3803	825	990
II.g4502.t1	631	654	574	507	569	575
III.g8908.t2	2038	2111	1925	933	1140	1164
X.g22032.t1	119	148	115	15	19	52
III.g10381.t1	59	37	31	110	104	83
X.g20750.t1	214	202	237	319	166	240
X.g21278.t1	89	71	47	237	118	243
X.g20290.t1	899	1092	913	593	488	499
X.g20500.t2	281	267	222	416	512	463
X.g20547.t2	493	596	492	704	374	653
V.g15807.t1	25	11	17	38	30	31
X.g19997.t2	224	274	230	199	165	165
X.g19960.t2	1157	1052	1007	1705	1426	1882
II.g5573.t2	60	129	64	905	186	490
II.g4304.t1	17	6	9	49	29	23
III.g8764.t1	825	827	700	486	367	612
III.g8188.t1	2330	2433	2268	1565	1389	1809
X.g21170.t1	1614	1699	1866	3491	1108	3480
X.g19491.t2	509	550	464	648	758	822
I.g3905.t1	104	73	88	228	235	216
II.g6216.t1	327	312	318	222	279	259
V.g16742.t1	10113	10805	9865	8791	6781	9164
V.g16730.t2	6340	6844	6576	3090	3536	3787
I.g1414.t1	17649	15119	17902	8884	7996	8887
I.g1864.t1	930	867	928	396	545	505
II.g5352.t1	1984	1508	1679	1304	1206	1363
IV.g13659.t1	283	928	259	1406	215	1088
III.g8256.t1	264	367	279	108	144	143
X.g19757.t1	1370	1140	1132	1821	835	1542
I.g3479.t1	40	35	54	629	569	569
II.g5178.t1	18	26	16	87	83	121
III.g8290.t1	2230	2619	2824	2193	1840	2393
V.g17412.t1	1884	1966	1800	1344	1345	1636
V.g15888.t1	18	10	10	124	41	32
IV.g12871.t1	12	9	16	15	11	13
IV.g11688.t1	20	16	13	104	138	143
I.g2148.t1	14	4	7	86	93	77
V.g13898.t1	2090	2328	1930	1787	1769	2070
V.g15943.t1	1137	1054	997	873	1152	978
X.g20446.t1	1408	1722	1131	2299	1404	2133
X.g18917.t1	29	34	26	271	373	274
X.g18547.t1	756	531	731	1832	1106	2178
III.g8306.t1	40	31	29	210	214	203
IV.g11534.t1	8	25	16	13	11	18
X.g20545.t1	153	125	158	456	408	336
X.g20263.t2	269	294	254	276	359	337
II.g5409.t1	3695	4065	3298	4918	4614	5032
I.g2826.t1	2060	2412	2086	508	725	739
V.g18322.t1	29143	17400	28690	33212	2767	14773
II.g5170.t1	3546	3685	3146	2676	3743	3720
X.g20861.t1	1039	1416	652	678	989	952
X.g19252.t1	312	356	346	232	103	193
I.g2079.t2	1175	939	1049	1257	1269	1311
X.g20316.t2	0	1	1	5	2	2
I.g1723.t1	8	15	14	52	57	69
II.g5548.t2	886	892	913	463	666	704
III.g8813.t2	2651	2920	2594	2246	2720	2719
III.g10070.t1	509	389	505	411	436	399
III.g7476.t1	2635	2210	2289	1121	923	1425
III.g9853.t1	2749	3156	2582	2815	3216	3368
I.g1768.t1	6189	5773	5361	4778	5448	5531
X.g19376.t1	5	5	1	41	16	16
X.g18750.t1	227	150	95	705	190	332
V.g16546.t1	1	2	4	19	4	10
II.g4626.t1	33	48	36	52	41	79
V.g18280.t1	3524	3334	3035	2043	2309	2586
I.g2646.t1	44	49	48	1097	880	1057
V.g15656.t1	2075	2479	2029	2847	2143	3758
V.g14519.t1	3647	3387	3381	1707	1563	1728
X.g19100.t2	41	47	45	182	103	156
II.g4544.t1	6025	9954	6031	358	276	757
X.g22100.t1	380	216	153	937	145	604
X.g20543.t2	47	32	9	401	122	184
X.g21883.t2	179	195	193	180	178	214
IV.g11697.t1	421	526	471	204	303	316
X.g20046.t1	456	233	305	1159	515	938
I.g3918.t1	13	21	15	39	31	16
IV.g12734.t2	1	1	1	1064	924	1061
IV.g10538.t1	33	43	60	57	41	42
X.g21519.t1	53	78	66	27	18	47
X.g19325.t1	3	8	0	13	12	13
X.g20333.t2	7	8	2	30	26	20
X.g21069.t1	831	724	553	575	773	614
X.g19043.t1	9	8	4	31	22	22
III.g8334.t1	41	49	30	393	524	406
III.g8104.t1	131	120	137	348	274	423
X.g21518.t1	155	156	125	80	45	95
V.g17065.t2	358	358	422	663	341	662
I.g1506.t3	385	876	525	1003	239	1311
I.g2961.t1	157	158	139	115	96	100
III.g9852.t1	107	125	98	493	692	550
III.g8659.t1	2263	2357	2172	1162	1131	1292
V.g18233.t1	4342	3705	3491	2531	3923	3014
I.g3728.t1	278	253	221	217	184	240
V.g17280.t1	1796	2100	1741	1362	1954	1578
X.g22158.t2	196	293	148	382	248	296
I.g918.t1	1698	1789	1722	821	969	1113
IV.g10708.t1	1790	2263	1817	2445	2100	3144
II.g6428.t3	1563	1494	1138	1896	2630	1863
V.g16252.t1	517	493	539	498	1465	801
V.g15546.t1	1839	1990	1946	2108	1787	2024
X.g20302.t2	655	266	473	706	840	583
V.g16172.t1	1	12	11	28	55	37
V.g14174.t1	255	242	206	325	244	331
I.g2261.t1	7916	8709	8263	4592	3860	5630
III.g9164.t1	1	3	0	26	3	9
X.g20856.t1	61	29	32	7	13	8
X.g18826.t1	11	8	4	26	6	22
X.g19655.t1	17	17	15	119	76	78
I.g2906.t3	13	18	14	51	35	42
X.g21798.t1	514	672	619	788	499	756
I.g3802.t2	6	10	4	60	30	39
III.g7538.t1	106	78	95	103	138	158
V.g16324.t1	17	19	15	96	60	78
II.g4427.t1	3537	3646	3225	3604	4232	4020
X.g20673.t2	58	57	40	121	132	138
III.g9123.t2	20643	24584	22576	6911	5522	8317
X.g20510.t2	12	15	1	123	34	30
X.g18742.t2	14	20	10	32	55	33
X.g18734.t2	1467	1752	1310	2872	1151	2308
III.g8463.t1	1167	1119	1132	687	1039	907
X.g20359.t1	73	48	57	309	317	256
III.g9463.t1	1506	1727	1432	1757	2332	2080
II.g7278.t1	0	0	0	987	877	884
X.g21152.t1	300	377	267	556	482	493
I.g1147.t1	9	8	14	1074	649	904
V.g16095.t1	22	22	22	64	111	65
X.g20773.t2	85	98	131	56	31	51
X.g20065.t3	44	42	35	101	115	148
V.g16997.t3	378	360	306	1430	775	1211
I.g3576.t1	2072	2208	1826	1822	2323	2124
