Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
V.g15077.t2	7	3	8	5	8	4
V.g15440.t1	0	0	0	0	0	0
V.g15083.t3	6	7	5	6	15	11
V.g15079.t1	2	0	4	9	7	4
V.g15428.t1	3	7	2	30	14	53
IV.g10709.t1	13	10	17	50	44	40
X.g22089.t2	2	0	3	3	5	0
IV.g10561.t1	4	6	10	69	20	92
V.g15427.t3	1	6	0	15	22	21
V.g14701.t1	1877	2250	1726	1105	1448	1538
V.g15429.t2	1	1	0	13	7	10
V.g14190.t1	3	1	1	16	20	28
V.g15994.t2	1	1	0	25	26	23
V.g16139.t1	0	0	0	0	2	1
V.g15298.t2	70	39	71	128	42	104
V.g14567.t1	0	0	1	3	2	1
V.g15051.t1	0	0	0	0	1	1
V.g15017.t2	0	0	0	2	4	3
V.g14577.t1	0	0	3	1	4	3
V.g15995.t2	0	0	0	5	7	11
V.g15431.t1	1	2	1	28	6	11
V.g15052.t1	1	1	1	1	2	1
V.g14755.t1	10	11	1	16	14	24
V.g15267.t1	0	0	0	4	4	2
V.g15279.t1	2340	2340	1994	1135	1623	1296
V.g15266.t1	0	2	0	1	0	0
V.g14759.t1	67	16	15	43	21	14
V.g14753.t2	11	6	4	9	6	16
V.g17409.t1	1	0	4	7	15	12
V.g14570.t3	2	1	2	3	7	5
II.g6620.t1	1497	1464	1450	876	1283	1099
V.g15066.t1	0	0	2	2	2	4
II.g7146.t1	2	4	2	4	22	6
V.g14757.t1	2	3	1	3	1	0
V.g14758.t1	0	1	1	11	6	4
V.g14756.t1	27	4	6	4	7	5
V.g14754.t1	0	3	1	7	1	6
V.g14685.t1	0	0	0	0	0	0
V.g18040.t2	42	69	32	50	19	63
V.g14749.t1	7	27	3	60	60	48
V.g18047.t1	3	4	3	8	2	7
V.g18038.t1	1	2	0	0	0	2
V.g14849.t1	582	649	728	140	370	92
V.g14848.t1	91	68	157	217	137	346
V.g14746.t1	0	0	0	0	0	0
V.g14850.t1	728	702	805	180	1989	446
V.g18326.t1	82	73	101	149	55	131
I.g1834.t1	0	0	0	19	13	25
I.g3449.t1	6	2	2	33	36	20
V.g14747.t2	0	0	0	5	0	2
V.g14788.t1	0	0	0	0	0	0
I.g3450.t1	73	65	37	249	536	233
X.g21555.t1	3	1	0	16	19	7
I.g1495.t1	606	706	611	431	784	655
II.g5847.t1	8	5	2	24	18	14
II.g6846.t1	1	0	0	1	1	1
II.g5965.t1	40	31	22	126	72	121
II.g5844.t1	13	2	2	37	26	22
II.g7240.t1	2	0	0	7	4	5
II.g6843.t1	0	2	1	13	4	5
I.g3448.t1	12	4	9	115	45	72
I.g3453.t1	49	21	21	259	274	244
II.g7244.t1	9	6	5	23	25	14
II.g5845.t1	47	38	30	175	144	147
